donor_id,in_study,model_score,diff_efficiency
HPSI0416i-iazw_4,not_assessed,0.657988816,NA
HPSI0416i-iooi_1,not_assessed,5.57E-05,NA
HPSI0416i-iooi_6,not_assessed,0.637633143,NA
HPSI0416i-ioys_5,not_assessed,0.99711489,NA
HPSI0416i-ioys_6,not_assessed,0.999239203,NA
HPSI0416i-jewl_5,not_assessed,0.809746706,NA
HPSI0416i-jewl_6,not_assessed,0.483842444,NA
HPSI0416i-mapx_1,not_assessed,0.075031293,NA
HPSI0416i-mapx_5,not_assessed,0.425851398,NA
HPSI0416i-mefc_1,not_assessed,0.746232748,NA
HPSI0416i-mefc_2,not_assessed,0.723864933,NA
HPSI0416i-ourj_1,not_assessed,2.11E-05,NA
HPSI0416i-ourj_2,not_assessed,0.752379113,NA
HPSI0416i-ruah_4,not_assessed,1.39E-05,NA
HPSI0416i-ruah_5,not_assessed,0.372027451,NA
HPSI0416i-sevr_1,not_assessed,0.718873737,NA
HPSI0416i-sevr_2,not_assessed,0.203874974,NA
HPSI0416i-xutl_2,not_assessed,0.141583397,NA
HPSI0416i-zige_2,not_assessed,0.004943102,NA
HPSI0416i-zige_5,not_assessed,0.114068583,NA
HPSI0513i-aipt_3,not_assessed,0.237273418,NA
HPSI0513i-aipt_33,succeeded,0.977684162,0.712915129
HPSI0513i-cehw_3,not_assessed,0.692825352,NA
HPSI0513i-coio_1,not_assessed,0.294201839,NA
HPSI0513i-coio_2,not_assessed,0.220043112,NA
HPSI0513i-cuau_1,not_assessed,0.968604239,NA
HPSI0513i-cuau_2,not_assessed,0.996077614,NA
HPSI0513i-debk_7,not_assessed,0.851310854,NA
HPSI0513i-debk_9,succeeded,0.989739252,0.294043093
HPSI0513i-dipe_1,succeeded,0.994524665,0.856844305
HPSI0513i-dovq_3,not_assessed,0.039560021,NA
HPSI0513i-dulv_1,succeeded,0.994902674,0.898203593
HPSI0513i-dulv_2,not_assessed,0.985894899,NA
HPSI0513i-euir_1,not_assessed,0.862056706,NA
HPSI0513i-euir_2,not_assessed,0.06939911,NA
HPSI0513i-fejf_2,succeeded,0.994209864,0.227463312
HPSI0513i-giuf_1,succeeded,0.952848591,0.75
HPSI0513i-giuf_3,not_assessed,0.909833432,NA
HPSI0513i-golb_1,not_assessed,0.000257243,NA
HPSI0513i-huls_1,not_assessed,0.129648969,NA
HPSI0513i-iasn_3,not_assessed,0.919450118,NA
HPSI0513i-kesz_1,not_assessed,0.086741569,NA
HPSI0513i-leeh_2,not_assessed,0.33930252,NA
HPSI0513i-leeh_3,not_assessed,0.125358279,NA
HPSI0513i-netf_2,not_assessed,0.993544234,NA
HPSI0513i-oarz_2,not_assessed,0.807295604,NA
HPSI0513i-oarz_22,succeeded,0.990795995,0.882254697
HPSI0513i-oeoo_2,not_assessed,0.936511059,NA
HPSI0513i-oibg_1,failed,0.027418783,0.061755624
HPSI0513i-oogu_2,not_assessed,0.342003576,NA
HPSI0513i-suzg_3,succeeded,0.998244718,0.861060329
HPSI0513i-uilw_1,not_assessed,0.934847532,NA
HPSI0513i-uoxz_4,succeeded,0.994975049,0.850547731
HPSI0513i-veqz_6,not_assessed,0.995841994,NA
HPSI0513i-veve_2,succeeded,0.947337847,0.676375405
HPSI0513i-xegx_1,not_assessed,0.936840908,NA
HPSI0513i-xegx_2,not_assessed,0.002608713,NA
HPSI0513i-zaui_3,not_assessed,0.285266083,NA
HPSI0514i-aecv_2,not_assessed,0.978064369,NA
HPSI0514i-aecv_3,not_assessed,0.961715828,NA
HPSI0514i-aomr_5,not_assessed,0.745408093,NA
HPSI0514i-aomr_6,not_assessed,0.908267084,NA
HPSI0514i-eoxi_6,not_assessed,0.910793495,NA
HPSI0514i-fiaj_1,failed,0.001182219,0.061096001
HPSI0514i-fiaj_3,not_assessed,0.799313224,NA
HPSI0514i-kidt_1,not_assessed,0.959822392,NA
HPSI0514i-kooz_5,not_assessed,0.938955461,NA
HPSI0514i-kuco_1,not_assessed,0.552213847,NA
HPSI0514i-kuco_5,not_assessed,0.796799221,NA
